Code	St	Btl	Year	Lat	Lon	Bottom_Depth	Pres	CTDDEPTH	Tinsitu	Tpot	Sal	O2	SiO4	NO3	PO4	DIC	Alk
2010121	1	21	2010	38.327317	-9.6611	2819	112.175	111.55	15.4875	15.47002	36.1575	190.425	2.45	6.850538	0.475648	2136.1	2368.9
2010120	1	20	2010	38.327317	-9.6611	2819	136.975	136.25	15.195	15.173914	36.1475	189.925	2.4725	7.493038	0.508148	2146.4	2369.8
2010119	1	19	2010	38.327317	-9.6611	2819	186.425	185.425	14.3025	14.274932	36.01	188.025	3.21	9.748038	0.638148	2146.6	2358.9
2010118	1	18	2010	38.3273	-9.6611	2819	192.1	191	14.13	14.101821	35.99	187.9	3.43	10.000538	0.658148	-999	-999
2010117	1	17	2010	38.3273	-9.6611	2819	236.066667	234.7	13.636667	13.602821	35.903333	187.766667	3.69	10.947204	0.721481	-999	-999
2010116	1	16	2010	38.3273	-9.6611	2819	286.4	284.8	13.34	13.299472	35.86	186.4	3.91	11.810538	0.738148	2153.1	2350.5
2010115	1	15	2010	38.327317	-9.6611	2819	419.275	416.65	12.26	12.203598	35.7625	175.05	5.6175	14.808038	0.938148	2165.8	2346.7
2010114	1	14	2010	38.327317	-9.6611	2819	662.025	657.375	12.83	12.737037	36.285	171.3	6.1025	13.410538	0.840648	2190	2387.5
2010113	1	13	2010	38.3273	-9.6611	2819	804.2	796.3	12.81	12.696542	36.35	170.8	6.35	12.910538	0.838148	-999	-999
2010112	1	12	2010	38.3273	-9.6611	2819	949	940.4	12.66	12.526224	36.49	168.6	6.64	13.740538	0.858148	-999	-999
2010111	1	11	2010	38.327317	-9.6611	2819	962.033333	954.5	12.525	12.390306	36.413333	166.7	7.21	14.242204	0.892148	2206.066667	2400.533333
2010110	1	10	2010	38.3273	-9.6611	2819	1048.3	1037.6	12.52	12.372718	36.48	165.7	7.23	13.810538	0.878148	-999	-999
2010109	1	9	2010	38.327317	-9.6611	2819	1198.425	1187.475	12.26	12.092849	36.4725	163.5	7.96	14.875538	0.923148	2218	2409.8
2010108	1	8	2010	38.3273	-9.6611	2819	1348.8	1334.2	11.31	11.12977	36.35	161.3	9.76	16.190538	1.048148	-999	-999
2010107	1	7	2010	38.3273	-9.6611	2819	1498.6	1483.833333	10.8	10.603898	36.293333	165.633333	10.443333	16.763871	1.078148	2213.4	2399.1
2010106	1	6	2010	38.3273	-9.6611	2819	1647.9	1628.9	8.23	8.043497	35.79	184	13.57	18.390538	1.218148	-999	-999
2010105	1	5	2010	38.3273	-9.6611	2819	1798.7	1779.7	6.08	5.903275	35.416667	204.966667	16.726667	19.740538	1.321481	2189	2344.2
2010104	1	4	2010	38.3273	-9.6611	2819	2099.466667	2075.466667	4.456667	4.271667	35.16	218.666667	21.35	20.710538	1.401481	-999	-999
2010103	1	3	2010	38.3273	-9.6611	2819	2400.5	2371.333333	3.656667	3.454475	35.046667	222.333333	26.843333	21.510538	1.471481	-999	-999
2010102	1	2	2010	38.3273	-9.6611	2819	2702.3	2667.5	2.956667	2.737309	34.966667	223.7	33.806667	22.407204	1.543148	-999	-999
2010101	1	1	2010	38.3273	-9.6611	2819	2845.966667	2808.3	2.823333	2.592179	34.95	223.8	36.053333	22.690538	1.568148	-999	-999
2010210	2	10	2010	36.7622	-12.8313	4492	142.1	141.4	14.94	14.918385	36.06	197	2.45	7.540538	0.488148	-999	-999
2010209	2	9	2010	36.7622	-12.8313	4492	202	201	14.17	14.140304	35.99	196.8	2.84	8.990538	0.578148	-999	-999
2010208	2	8	2010	36.7622	-12.8313	4492	251.6	250.3	13.49	13.454178	35.86	191.6	3.82	11.130538	0.708148	-999	-999
2010207	2	7	2010	36.7622	-12.8313	4492	351.1	349.2	12.82	12.771505	35.79	197.5	3.82	11.490538	0.738148	-999	-999
2010206	2	6	2010	36.7622	-12.8313	4492	500.5	497.5	11.64	11.574727	35.63	176.4	6.35	16.070538	1.018148	-999	-999
2010205	2	5	2010	36.7622	-12.8313	4492	660	655.8	11.13	11.045642	35.72	158.5	8.69	18.410538	1.168148	-999	-999
2010204	2	4	2010	36.7622	-12.8313	4492	819.6	814	11.91	11.799609	36.14	162.2	8.11	15.990538	1.048148	-999	-999
2010203	2	3	2010	36.7622	-12.8313	4492	899.1	892.7	10.89	10.775081	35.99	157.1	10.06	18.230538	1.168148	-999	-999
2010202	2	2	2010	36.7622	-12.8313	4492	1049	1041.1	10.62	10.486919	36.07	159.4	10.64	18.200538	1.158148	-999	-999
2010201	2	1	2010	36.7622	-12.8313	4492	1198.8	1189.3	10.38	10.228825	36.13	164.3	10.84	17.850538	1.128148	-999	-999
2010322	3	22	2010	35.2012	-15.9984	2792	101.75	101.1	16.435	16.418484	36.255	192.6	1.86	6.090538	0.358148	2124.4	2371.1
2010321	3	21	2010	35.2012	-15.9984	2792	135.5	134.6	15.945	15.923443	36.2	190.6	2.01	7.265538	0.448148	2143.8	2367.7
2010320	3	20	2010	35.2012	-15.9984	2792	190.9	189.55	14.83	14.801069	36.035	189.95	2.305	9.110538	0.573148	2145.5	2355.1
2010319	3	19	2010	35.2012	-15.9984	2792	300.1	297.9	13.35	13.307508	35.82	188.5	4.21	11.940538	0.738148	2154.5	2340.5
2010318	3	18	2010	35.2012	-15.9984	2792	400.4	397.4	12.58	12.525303	35.72	185.6	4.55	13.575538	0.838148	2157	2347.4
2010317	3	17	2010	35.2012	-15.9984	2792	489.35	485.6	11.915	11.85026	35.635	172.4	5.86	15.980538	0.988148	2157.4	2333.8
2010316	3	16	2010	35.2012	-15.9984	2792	609.35	604.45	11.045	10.967766	35.585	161.2	8.595	18.415538	1.163148	2175.2	2339.5
2010315	3	15	2010	35.2012	-15.9984	2792	773.6	767	10.585	10.488599	35.73	156.1	9.62	19.185538	1.218148	2192.6	2346.3
2010314	3	14	2010	35.2012	-15.9984	2792	873.1	865.4	10.4	10.291754	35.81	156.2	10.35	19.160538	1.208148	2194.7	2358.6
2010313	3	13	2010	35.2012	-15.9984	2792	899.6	891.7	10.29	10.179006	35.83	157.4	14.54	19.260538	1.238148	-999	-999
2010312	3	12	2010	35.2012	-15.9984	2792	994.9	986.4	10.25	10.126867	35.92	158.2	11.13	18.840538	1.228148	2201.6	2367
2010311	3	11	2010	35.2012	-15.9984	2792	1049.6	1040.7	10.11	9.980776	35.94	160.1	11.32	18.870538	1.208148	2201.7	2368.4
2010310	3	10	2010	35.2012	-15.9984	2792	1199.5	1188.9	9.2	9.059147	35.84	167.9	12.4	19.370538	1.258148	2200.1	2364.4
2010309	3	9	2010	35.2012	-15.9984	2792	1350	1337.6	8.44	8.287711	35.75	179.1	12.79	19.290538	1.248148	2191.4	2357.5
2010308	3	8	2010	35.2012	-15.9984	2792	1500.3	1486.1	7.14	6.983738	35.55	194.1	13.67	19.470538	1.268148	2188.9	2345
2010307	3	7	2010	35.2012	-15.9984	2792	1700.7	1683.8	5.63	5.469846	35.31	211.9	15.23	19.790538	1.308148	2185.9	2330.5
2010306	3	6	2010	35.2012	-15.9984	2792	1900.8	1881	4.72	4.551422	35.18	221.8	17.38	20.080538	1.348148	2181.6	2320.4
2010305	3	5	2010	35.2012	-15.9984	2792	2102.1	2079.3	4.15	3.969643	35.1	223.8	21.58	20.690538	1.388148	2176.2	2323.8
2010304	3	4	2010	35.2012	-15.9984	2792	2302.3	2276.2	3.67	3.477498	35.04	225.6	24.9	21.160538	1.438148	2174.8	2325.4
2010303	3	3	2010	35.2012	-15.9984	2792	2503.7	2474.2	3.3	3.093964	35	226.1	28.51	21.660538	1.478148	2193.4	2310.1
2010302	3	2	2010	35.2012	-15.9984	2792	2604.2	2572.9	3.16	2.946503	34.99	225.6	30.56	21.950538	1.528148	2183.4	2323.7
2010301	3	1	2010	35.2012	-15.9984	2792	2820.8	2785.4	2.93	2.699179	34.96	225.2	33.87	22.380538	1.538148	2191.3	2335.1
2010409	4	9	2010	33.1008	-19.0009	3827	122.4	121.7	17.93	17.908857	36.55	189.3	1.47	4.630538	0.298148	-999	-999
2010408	4	8	2010	33.1008	-19.0009	3827	187	185.8	16.96	16.928893	36.38	185.2	2.06	6.800538	0.398148	-999	-999
2010407	4	7	2010	33.1008	-19.0009	3827	236.5	235	16.3	16.261689	36.26	184.5	2.45	7.800538	0.468148	-999	-999
2010406	4	6	2010	33.1008	-19.0009	3827	301.5	299.4	15.15	15.103484	36.07	184.3	3.13	9.600538	0.588148	-999	-999
2010405	4	5	2010	33.1008	-19.0009	3827	400.6	397.7	13.9	13.841506	35.92	183.2	4.3	11.430538	0.768148	-999	-999
2010404	4	4	2010	33.1008	-19.0009	3827	520.5	516.6	12.76	12.68791	35.74	179.4	5.08	13.940538	0.848148	-999	-999
2010403	4	3	2010	33.1008	-19.0009	3827	749.8	743.6	10.61	10.516722	35.55	154.1	9.77	19.890538	1.258148	-999	-999
2010402	4	2	2010	33.1008	-19.0009	3827	899.1	891.2	9.67	9.56334	35.58	150.7	12.4	21.460538	1.368148	-999	-999
2010401	4	1	2010	33.1008	-19.0009	3827	1198.1	1186.5	8.9	8.762094	35.71	165.8	13.08	20.230538	1.298148	-999	-999
2010523	5	23	2010	31.0029	-22.002	5013	111.95	111.5	18.515	18.495226	36.62	198.65	1.18	2.150538	0.173148	2130.2	2392.4
2010522	5	22	2010	31.0029	-22.002	5013	136.75	136.1	18.015	17.991294	36.55	189.5	1.475	4.160538	0.248148	2122.2	2392.2
2010521	5	21	2010	31.0029	-22.002	5013	151.3	150.7	17.82	17.793962	36.53	189.5	1.57	4.970538	0.308148	-999	-999
2010520	5	20	2010	31.0029	-22.002	5013	186.4	185.5	17.51	17.478287	36.49	186.05	1.865	5.780538	0.373148	2123.9	2386.1
2010519	5	19	2010	31.0029	-22.002	5013	251.15	249.9	16.47	16.429003	36.295	183.65	2.5	7.720538	0.458148	2129.8	2373.4
2010518	5	18	2010	31.0029	-22.002	5013	350.4	348.5	15.26	15.205575	36.13	180.5	3.33	9.510538	0.588148	2143.1	2365.1
2010517	5	17	2010	31.0029	-22.002	5013	549.7	546.45	12.36	12.285361	35.675	169.7	6.255	15.735538	0.968148	2154.9	2339.8
2010516	5	16	2010	31.0029	-22.002	5013	848.75	843	9.605	9.505096	35.465	141	12.885	22.940538	1.463148	2185.5	2332.1
2010515	5	15	2010	31.0029	-22.002	5013	947.8	941	9.34	9.229589	35.53	149.7	12.6	21.970538	1.418148	-999	-999
2010514	5	14	2010	31.0029	-22.002	5013	998.5	991.3	8.85	8.736895	35.52	149.4	14.16	22.630538	1.448148	2193	2345.6
2010513	5	13	2010	31.0029	-22.002	5013	1198.3	1188.9	8.2	8.068319	35.56	163.3	14.64	21.640538	1.398148	2191.7	2349.1
2010512	5	12	2010	31.0029	-22.002	5013	1499.7	1482.6	6.72	6.5686	35.44	190.1	15.43	20.800538	1.368148	2188.2	2343.3
2010511	5	11	2010	31.0029	-22.002	5013	1800.6	1778.9	5.15	4.985777	35.22	215.9	15.62	20.290538	1.348148	2180.1	2328.7
2010510	5	10	2010	31.0029	-22.002	5013	2101.6	2074.9	4.17	3.989419	35.09	224	19.82	20.770538	1.398148	2177.5	2327.3
2010509	5	9	2010	31.0029	-22.002	5013	2402.7	2370.5	3.53	3.329909	35.02	227.4	24.41	21.240538	1.448148	2181.7	2325.6
2010508	5	8	2010	31.0029	-22.002	5013	2704	2665.9	3.09	2.867836	34.97	227.6	29.29	21.830538	1.488148	2184.6	2335.5
2010507	5	7	2010	31.0029	-22.002	5013	3006.4	2961.9	2.81	2.562619	34.95	225.5	34.36	22.510538	1.538148	2188.9	2340.1
2010506	5	6	2010	31.0029	-22.002	5013	3308.7	3257.4	2.65	2.374461	34.93	223	39.15	23.140538	1.578148	2193.8	2341.3
2010505	5	5	2010	31.0029	-22.002	5013	3611.5	3553	2.53	2.224583	34.92	224.7	41.59	23.410538	1.598148	2198.2	2342.6
2010504	5	4	2010	31.0029	-22.002	5013	3914.9	3848.6	2.46	2.122527	34.91	223.9	43.64	23.640538	1.618148	2197.3	2344.1
2010503	5	3	2010	31.0029	-22.002	5013	4319.7	4242.4	2.41	2.027019	34.9	224.7	45.68	23.830538	1.628148	2199.8	2347.9
2010502	5	2	2010	31.0029	-22.002	5013	4776.5	4685.9	2.42	1.981359	34.89	224.4	47.15	23.880538	1.638148	2203.7	2353.5
