AABW	DSOW	NADWl	LSW	ISOW	NADWu	MW	AAIW	ENACWP	H	STMW	NEW	SMW	SACW	ENACW16
Tpot	Sal	SiO4	NO3	PO4	O2	Alk	Ct	O20						
1.48	34.84	66.5	24.2	1.67	240	2352	2202	240						
1.3	34.905	8	10.4	0.7	315	2310	2200	305						
1.88	34.88	48.5	21.9	1.5	242	2349	2203	242						
3	34.87	7.8	15.8	1.07	285	2301	2118	295						
2.6	34.98	9	15.4	1.09	280	2290	2099	295						
2.5	34.94	30	18.8	1.31	258.576245	2327.161974	2160.62188	258.576245						
11.7	36.5	7.7	10.3	0.62	209	2411	2151	209						
6.5	34.9	21.2	33	2.15	102	2315	2210	120						
8	35.23	11	18	1.1	200	2320	2112	200						
12.2	35.6	4.4	12.4	0.74	200	2338	2107	210						
17.5	36.5	0	2	0	200	2386	2112	200						
24	36.07	1	1	0.02	200	2395	2076	190						
22.5	37.3	0	0	0	205	2442	2110	180						
15	35.55	4.8	24.2	1.44	65	2322	2221	60						
16	36.2	0.5	3	0.25	220	2320	2112	221						
